bulk_type,purpose,vessel,collection_date,origin,partner_faculty,site_name_rep_detail,team,gps,mgmt_type,site_id,replicate,sample_id,google_img_id,date_arrival_at_jhu,status,date_sent_for_soil_analysis,date_sent_for_novaseq,date_sent_for_nanopore,date_sent_for_revio,sequencing_facility,As_EPA3051,Cd_EPA3051,Cr_EPA3051,Cu_EPA3051,Ni_EPA3051,Pb_EPA3051,Zn_EPA3051,water_pH,A-E_Buffer_pH,OM_by_LOI_pct,P_Mehlich3,K_Mehlich3,Ca_Mehlich3,Mg_Mehlich3,Mn_Mehlich3,Zn_Mehlich3,Cu_Mehlich3,Fe_Mehlich3,B_Mehlich3,S_Mehlich3,Na_Mehlich3,Al_Mehlich3,Est_CEC,Base_Sat_pct,P_Sat_ratio
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Gwynns Grassland ,"Ava, Elizabeth ","39.2725685, -76.6515768","Unmanaged: wild plants/weeds, forest, or grassland",B11,1,Soil_B11_1,1uocCMOo_15LMz62b9d6ZiiTMpuWOQgvX,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,1.06,42.85,60.06,24.51,118.74,296.39,6.9,7.92,5.3,25.88,100.88,2209,336.88,44.07,63.33,18.78,243.56,1.22,8.47,7.31,365.72,14.8,95.7,15.6
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Gwynns Glade,"Ava, Elizabeth ","39.2731493, -76.6527808","Unmanaged: wild plants/weeds, forest, or grassland",B12,1,Soil_B12_1,1R2y8KUXSma4ih77saOlT4lJLK3hsEPxq,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,1.08,51.62,68.57,30.5,124.34,302.42,7.2,7.96,6.4,19.98,88.15,2992.05,243.62,40.13,55.19,22.9,293.57,2.02,10.44,8.46,338.2,17.5,98.2,13.2
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Gwynns Trailhead ,"Ava, Elizabeth ","39.271642, -76.6482257","Managed: mowed/tended lawns, yard, or park",B13,1,Soil_B13_1,1RSp-9SLtIF71288f_1NtL7WvnumPfSSb,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.96,0.35,25.02,20.72,13.22,38.03,86.02,7,7.91,5.3,56.11,133.28,2114.93,252.28,66.44,17.91,6.28,234.11,1.07,11.35,12.36,545.68,13.7,94.8,22.2
Soil,Project,plastic bag,6/7/2023,"Baltimore, MD",Pilot (Hoffman and team),Herring Run Stump,"Ava, Elizabeth ","39.3321370, -76.5758902","Managed: mowed/tended lawns, yard, or park",B14,1,Soil_B14_1,1IABQk4yCQEbRrAgl7XJ2pBB-DO8fzNI3,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,12.98,0.35,27.23,28.46,13.35,56.97,90.02,6.4,7.7,6.7,23.37,120.92,1744.72,196.62,37.77,7.42,6.96,149.24,0.63,11.94,9,565.88,13.1,81.6,12.1
Soil,Project,plastic bag,6/7/2023,"Baltimore, MD",Pilot (Hoffman and team),Herring Run Field,"Ava, Elizabeth ","39.3302272, -76.5726679","Managed: mowed/tended lawns, yard, or park",B15,1,Soil_B15_1,1jktBKZd9I0pze5GQzDVIJ_2VCf5WYWbT,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.09,0.29,26.2,23.74,14.35,67.47,110.6,6.3,7.67,4.7,22.9,165.62,1029.4,208.05,30.58,7.78,5.4,154.14,0.39,8.85,3.41,610.94,9.9,73.5,11.5
Soil,Project,plastic bag,6/7/2023,"Baltimore, MD",Pilot (Hoffman and team),Herring Run Stream Bank,"Ava, Elizabeth ","39.3294746, -76.5708624","Unmanaged: wild plants/weeds, forest, or grassland",B16,1,Soil_B16_1,1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.84,0.53,27.61,30.22,15.24,102.41,135.78,6.6,7.84,3.3,18.79,113.76,1315.62,205.74,33.41,10.56,8.64,141.64,0.67,6.97,2.72,586.8,9.9,87,10.5
Soil,Project,plastic bag,6/7/2023,"Baltimore, MD",Pilot (Hoffman and team),Herring Run Hillside Forest,"Ava, Elizabeth ","39.3284985, -76.5712121","Unmanaged: wild plants/weeds, forest, or grassland",B17,1,Soil_B17_1,1b0Tk7DoTT-Zvj42uPT41n4vldVaYmDxr,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,< 0.2,51.21,58.15,31.56,29.24,84.54,6.2,7.67,4.3,11.6,269.55,1021.61,355.35,42.67,2.86,7.57,109.57,0.28,11.93,3.96,860.79,11.4,76.8,7.2
Soil,Project,plastic bag,6/7/2023,"Baltimore, MD",Pilot (Hoffman and team),Herring Run Footbridge,"Ava, Elizabeth ","39.3328439, -76.5739265","Unmanaged: wild plants/weeds, forest, or grassland",B18,1,Soil_B18_1,1OVfRdY_I4jW1jWnSTrRZM5lEn5e25sst,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,5.44,0.51,47.56,58.68,33.39,94.05,162.49,6.5,7.86,6.4,11.28,219.11,1302.45,467.11,91.08,10.03,8.68,119.04,0.94,7.6,4.82,504.38,12.1,90.7,8.7
Soil,Project,plastic bag,6/7/2023,"Baltimore, MD",Pilot (Hoffman and team),Herring Run Montebello ,"Ava, Elizabeth ","39.3319241, -76.5796275","Managed: mowed/tended lawns, yard, or park",B19,1,Soil_B19_1,1EIz00fHcrx4WAcM9t5F_A6UTQ0viWTx9,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.47,0.22,23.88,26.02,9.63,76.37,96.93,5.6,7.55,5.3,33.58,121.94,507.65,81.72,17.13,16.25,5.31,196.83,0.14,15.17,4.76,666.95,7.1,49.5,13.7
Soil,Project,plastic bag,6/13/2023,"Baltimore, MD",Pilot (Hoffman and team),Leakin Trailhead,"Ava, Elizabeth ","39.3042679, -76.6944519","Managed: mowed/tended lawns, yard, or park",B20,1,Soil_B20_1,13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,< 0.2,77.57,32.21,22.53,33.98,59.02,6.6,7.95,3.7,3.56,71.51,1604.57,349.03,33.99,3.24,4.75,101.76,0.65,5.49,5.72,517.58,11.5,96.5,5.8
Soil,Project,plastic bag,6/13/2023,"Baltimore, MD",Pilot (Hoffman and team),Leakin Poplar,"Ava, Elizabeth ","39.3027325, -76.6957974","Managed: mowed/tended lawns, yard, or park",B21,1,Soil_B21_1,12KYeJZU_nQWCgHpyUgOeaVpVLhVzy5vf,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,< 0.2,20.04,28.49,14.65,26.94,51.11,6,7.66,3.7,10.01,135.55,491.18,118.71,20.14,1.38,2.05,82.69,0.18,7.86,4.8,777.54,6.5,58.2,7.1
Soil,Project,plastic bag,6/13/2023,"Baltimore, MD",Pilot (Hoffman and team),Leakin Glen,"Ava, Elizabeth ","39.3017521, -76.6965910","Unmanaged: wild plants/weeds, forest, or grassland",B22,1,Soil_B22_1,1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,< 0.2,77.7,27.48,23.15,23.6,44.66,6.5,7.88,4.4,3.48,73.5,1963.72,254.52,43.9,4.67,5.02,186.88,0.73,5.96,5.3,370.13,13.1,92.7,6.1
Soil,Project,plastic bag,6/13/2023,"Baltimore, MD",Pilot (Hoffman and team),Leakin Forest,"Ava, Elizabeth ","39.3056304, -76.6947600","Unmanaged: wild plants/weeds, forest, or grassland",B23,1,Soil_B23_1,1MMVp-SnXLo79ISNy8ypHiQrff_JdN_7G,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.92,< 0.2,21.44,29.98,19.14,50.04,63.8,5.5,7.25,5.9,7.86,106.32,191.61,86,10.01,2.73,3.43,181.41,0.14,11.04,3.72,916.25,7.9,24.5,6.1
Soil,Project,plastic bag,6/13/2023,"Baltimore, MD",Pilot (Hoffman and team),Leakin Nature Center,"Ava, Elizabeth ","39.3072080, -76.6949263","Managed: mowed/tended lawns, yard, or park",B24,1,Soil_B24_1,1p48KBMw5cm4L5UNp-BgNMGqoWO20ypNJ,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,< 0.2,39.4,52.81,21.01,34.12,57.4,6.7,7.89,4,10.11,188.37,2138.35,272.19,55.36,8.22,9.16,156.78,0.85,6.33,5.29,463.16,14.3,93.9,8.4
Soil,Project,plastic bag,6/2/2023,"Derwood, MD",Pilot (Hoffman and team),Rock Creek Park Needwood Parking Lot,"Ava, Madeline, David, Daniel, Mike, Stephen, Fred, Elizabeth ","39.114081, -77.128242","Managed: mowed/tended lawns, yard, or park",M01,1,Soil_M01_1,1rozkLu0BLnlw3hMvgH493om1AVX9Q0n4,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.24,< 0.2,37.78,25.96,28,19.39,44.01,6,7.68,5.1,8.57,59.84,1411.22,180.09,38.28,1.89,2.42,163.04,0.4,8.07,4.03,465.32,11.3,77.3,7.8
Soil,Project,plastic bag,6/2/2023,"Derwood, MD",Pilot (Hoffman and team),Rock Creek Park Needwood Forest,Mike; Stephen; Fred; Ava; Madeline; Daniel; David; Elizabeth,"39.11580, -77.12721","Unmanaged: wild plants/weeds, forest, or grassland",M02,1,Soil_M02_1,1vFna4SQPgot0nNbhkX0S0ioAsVFYv1ij,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,5.18,< 0.2,41.03,19.6,71.89,32.25,52.95,6,7.7,4,5.46,93.96,1541.87,136.56,184,2.9,2.26,120.63,0.83,7.82,2.67,581.5,11.5,79.1,6.3
Soil,Project,plastic bag,6/2/2023,"Derwood, MD",Pilot (Hoffman and team),Rock Creek Park Needwood Pavilion ,"Ava, Madeline, David, Daniel, Mike, Stephen, Fred, Elizabeth ","39.11643, -77.12852","Managed: mowed/tended lawns, yard, or park",M03,1,Soil_M03_1,1RxbvnHTsCrhvwPC6lD4xj173q8_lC_6E,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.13,0.34,57.91,26.9,93.58,61.99,101.24,6,7.66,5.8,15.91,115.43,1451.54,277.71,87.33,10.3,4.81,189.06,0.39,8.71,3.97,547.11,12.6,78.4,9.7
Soil,Project,plastic bag,6/2/2023,"Derwood, MD",Pilot (Hoffman and team),Rock Creek Park Hill Trail,"Mike Schatz, Madeline Graham, Daniel Chin, David Soussana, Ava Hoffman, Elizabeth Humphries, Stephen Mosher, Fred Tan","39.118353, -77.126822","Unmanaged: wild plants/weeds, forest, or grassland",M04,1,Soil_M04_1,1cHKy1TivJG_bDzaVJqrIt5NEh-u3-w-0,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.87,< 0.2,20.3,17.62,11.41,42.46,34.38,4.9,7.12,7.9,9.54,69.05,74.82,40.38,14.13,2.13,1.08,249.88,0.05,16.18,2.65,907.18,7.9,11.2,6.4
Soil,Project,plastic bag,6/19/2023,"Boyds, MD",Pilot (Hoffman and team),Black Hill Visitor Center,"Ava, Elizabeth ","39.1924796, -77.2958082","Managed: mowed/tended lawns, yard, or park",M05,1,Soil_M05_1,1jINlFvfNqr9O1mBZFWYew-jQNuMQwohO,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,< 0.2,19.15,25.06,18.91,18.13,85.35,6.1,7.84,5.4,15.37,37.1,1889.32,168.38,42.12,2.94,3.24,126.65,0.6,9.86,158.82,365.41,12.2,89.5,12
Soil,Project,plastic bag,6/19/2023,"Boyds, MD",Pilot (Hoffman and team),Black Hill Small Wood,"Ava, Elizabeth ","39.1923697, -77.2938525","Unmanaged: wild plants/weeds, forest, or grassland",M06,1,Soil_M06_1,1ncKWeNNzdw52164UluHO_aKH5Q1J2eZ1,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,9.34,< 0.2,14.93,11.56,9.21,54.58,44.01,6,7.23,9.3,10.45,235.73,391.73,102.02,96.85,1.36,0.76,135.75,0.27,13.77,3.23,956.02,9.6,35.7,6.6
Soil,Project,plastic bag,6/19/2023,"Boyds, MD",Pilot (Hoffman and team),Black Hill Pavilion A,"Ava, Elizabeth ","39.1951344, -77.2909008","Managed: mowed/tended lawns, yard, or park",M07,1,Soil_M07_1,1CW01fLj9fhJnVFXm13vfqicvnekfXBzn,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,7.31,< 0.2,16.91,17.12,12.67,17.83,49.55,6.1,7.46,6.6,15.27,225.95,738.79,179.23,86.01,1.93,1.14,127.1,0.25,11.98,4.26,658.61,10.1,57.2,8.9
Soil,Project,plastic bag,6/19/2023,"Boyds, MD",Pilot (Hoffman and team),Black Hill Tiny Meadow,"Ava, Elizabeth ","39.1955480, -77.2893639","Unmanaged: wild plants/weeds, forest, or grassland",M08,1,Soil_M08_1,1pnrMNAW2nDH_pNeNBYLDvd_kLzs4JB7_,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,11.1,0.21,16.03,13.46,10.77,35.93,49.54,6.1,7.5,5.9,18.51,114.43,681.63,96.04,96.78,1.73,0.91,95.26,0.35,14.13,3.19,894.97,8.5,53,8.6
Soil,Project,plastic bag,6/19/2023,"Germantown, MD",Pilot (Hoffman and team),Ridge Road Oak Grove,"Ava, Elizabeth ","39.2096095, -77.2436929","Unmanaged: wild plants/weeds, forest, or grassland",M09,1,Soil_M09_1,1EUTS2qsooMUeQu_WPhRuZo3J3HMV0S7s,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,5.42,< 0.2,15.08,14.17,6.87,53.71,31.7,5.6,7.36,7.9,23.43,136.22,298.76,62.4,47.46,2.18,1.31,217.01,0.12,16.96,3.55,908.8,7.5,31.6,9.3
Soil,Project,plastic bag,6/19/2023,"Germantown, MD",Pilot (Hoffman and team),Ridge Road Pine Field,"Ava, Elizabeth ","39.2099919, -77.2439618","Managed: mowed/tended lawns, yard, or park",M10,1,Soil_M10_1,17z8YsxNfHT-wF8YGNgPYeyua7YeIyHZi,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,8.95,< 0.2,17.15,25.39,10.57,21.35,35.11,5.7,7.6,4.9,7.72,143.34,1082.18,158.42,95.89,1.38,1.75,144.92,0.29,7,6.04,622.95,10.3,68.9,6.8
Soil,Project,plastic bag,6/19/2023,"Germantown, MD",Pilot (Hoffman and team),Ridge Road Leafy Trail,"Ava, Elizabeth ","39.2074954, -77.2422723","Unmanaged: wild plants/weeds, forest, or grassland",M11,1,Soil_M11_1,13W5snhWYSWxQ--QsR2m2d1A0rbvRhGNZ,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,7.34,< 0.2,14.87,11.24,7.01,67.32,29.02,5.3,7.5,10.6,9.7,49.57,141.25,36.49,45.89,2.87,0.59,237.65,0.02,22.28,4.04,978.59,5.1,22.1,6.4
Soil,Project,plastic bag,6/19/2023,"Germantown, MD",Pilot (Hoffman and team),Ridge Road Tennis Court,"Ava, Elizabeth ","39.2084737, -77.2425640","Managed: mowed/tended lawns, yard, or park",M12,1,Soil_M12_1,1FLHR2DmC0QVQKLntWGh0q3D4ijFCvRdv,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,9.71,< 0.2,18.08,31.04,11.7,23.24,48.97,5.8,7.79,5.5,10.2,169.81,1258.23,154.54,72.71,3.4,3.79,127.36,0.47,7.31,3.06,523.3,9.7,82.7,8.1
Soil,Project,plastic bag,6/20/2023,"Germantown, MD",Pilot (Hoffman and team),Goshen Stream Davis Mill,"Ava, Elizabeth ","39.2108606, -77.2053983","Managed: mowed/tended lawns, yard, or park",M13,1,Soil_M13_1,1LrilZORD3AZeupIKsQrutBO4A2aHv5L_,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.11,0.98,21.29,27.45,22.51,24.55,68.19,5.6,7.81,4.6,8.3,63.77,1366.44,142.01,122.3,4.03,2.88,181.59,0.52,6.92,6.47,480.73,9.7,84.3,7.6
Soil,Project,plastic bag,6/20/2023,"Germantown, MD",Pilot (Hoffman and team),Goshen Stream Glade,"Ava, Elizabeth ","39.2109581, -77.2046218","Unmanaged: wild plants/weeds, forest, or grassland",M14,1,Soil_M14_1,116VaDyIuBjiaSV8ZX4tfARsnmnSfjaNj,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.79,0.96,22.93,21.74,19.02,22.35,64.65,5,7.56,5.6,12.44,69.91,671.32,113.5,55.16,3.86,2.19,172.14,0.18,8.6,4.46,639.72,8,56,8.1
Soil,Project,plastic bag,6/20/2023,"Germantown, MD",Pilot (Hoffman and team),Goshen Stream Seneca Trailhead,"Ava, Elizabeth ","39.2019044, -77.2025498","Managed: mowed/tended lawns, yard, or park",M15,1,Soil_M15_1,1coKQBwchZR4I60PeLKQ2lb5VomMu08Yz,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,0.9,20.79,19.15,16.04,21.55,54.52,6.4,7.83,3.8,47.19,272.9,1405.53,110.35,39.61,1.88,1.9,137.51,0.59,10.15,4.14,630.94,10,86.4,18.6
Soil,Project,plastic bag,6/20/2023,"Germantown, MD",Pilot (Hoffman and team),Goshen Stream Fern Gully,"Ava, Elizabeth ","39.2023669, -77.2013220","Unmanaged: wild plants/weeds, forest, or grassland",M16,1,Soil_M16_1,10xhoJuhx3u7wKLo20Zsc1-dmVUlNBxhs,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,0.91,18.77,28.02,20.63,35.61,64.66,4.7,7.1,11.5,11.69,64.96,115.16,60.42,9.26,2.49,1.66,373.66,0.03,18.83,3.57,893.95,8.4,14.8,6.8
Soil,Project,plastic bag,6/20/2023,"Germantown, MD",Pilot (Hoffman and team),Goshen Rec Grass,"Ava, Elizabeth ","39.2238459, -77.2123519","Managed: mowed/tended lawns, yard, or park",M17,1,Soil_M17_1,15Zxa_xtn7wnGK_4bAicZO99r3NnyJbtR,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,1.19,33.91,32.39,51,53.13,99.07,5.5,7.7,6.5,25.7,193.93,1605.62,212.78,42.32,14.6,4.34,184.51,0.82,9.81,4.71,455.44,12.7,81.1,14.3
Soil,Project,plastic bag,6/20/2023,"Germantown, MD",Pilot (Hoffman and team),Goshen Rec Arched Tree,"Ava, Elizabeth ","39.2238549, -77.2126031","Unmanaged: wild plants/weeds, forest, or grassland",M18,1,Soil_M18_1,1JqR-X9Rw6ORPioI2lRd14iZoaFuNyIzB,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.63,1.08,16.03,22.07,12.11,59.15,119.85,5.2,7.6,4.9,152.04,192.86,799.26,106.83,24.27,13.92,1.92,307.92,0.18,10.27,3,687.28,8.6,62.7,42.2
Soil,Project,plastic bag,6/21/2023,"Derwood, MD",Pilot (Hoffman and team),Farm Park Bird Field,"Ava, Elizabeth ","39.1642713, -77.1349229","Managed: mowed/tended lawns, yard, or park",M19,1,Soil_M19_1,1-UxtRseqxDVwUQyPKGWxW3bqA-OvxS6_,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.89,1.1,50.65,47.34,22.68,50.75,136.88,5.7,7.64,6,132.46,128.51,1259.5,156.73,21.95,22.7,8.69,308.55,0.27,11.06,8,586.81,10.8,73.4,41.9
Soil,Project,plastic bag,6/21/2023,"Derwood, MD",Pilot (Hoffman and team),Farm Park Stream Side,"Ava, Elizabeth ","39.1627040, -77.1327725","Unmanaged: wild plants/weeds, forest, or grassland",M20,1,Soil_M20_1,14_lYo5z76LGVbYmxdmKNMOldmlhME2vI,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.49,0.6,57.32,53.43,18.64,65.61,71.66,5,7.32,6,185.26,65.04,504.29,76.92,18.84,7.14,7.18,510.09,0.03,12.47,7.13,723.9,8.8,38,44.1
