bulk_type,purpose,vessel,collection_date,origin,partner_faculty,site_name_rep_detail,team,gps,mgmt_type,site_id,replicate,sample_id,google_img_id,date_arrival_at_jhu,status,date_sent_for_soil_analysis,date_sent_for_novaseq,date_sent_for_nanopore,date_sent_for_revio,sequencing_facility,As_EPA3051,Cd_EPA3051,Cr_EPA3051,Cu_EPA3051,Ni_EPA3051,Pb_EPA3051,Zn_EPA3051,water_pH,A-E_Buffer_pH,OM_by_LOI_pct,P_Mehlich3,K_Mehlich3,Ca_Mehlich3,Mg_Mehlich3,Mn_Mehlich3,Zn_Mehlich3,Cu_Mehlich3,Fe_Mehlich3,B_Mehlich3,S_Mehlich3,Na_Mehlich3,Al_Mehlich3,Est_CEC,Base_Sat_pct,P_Sat_ratio
Soil,Project,plastic bag,5/31/2023,"Baltimore, MD",Pilot (Hoffman and team),Decker Quad,"Ava, Elizabeth, Stephen, Fred","39.3262120, -76.6213047","Managed: mowed/tended lawns, yard, or park",B01,1,Soil_B01_1,1TQ4lQDBbhQ0Rczf2g_AsmnjHsfgIN5RP,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,< 3.0,0.26,12.77,13.54,6.93,10.69,33.71,6.8,7.95,3.4,47.4,136.87,1384.37,198.67,36.89,5.46,5.21,229.75,0.49,15.42,18.2,472.72,9.3,95.7,21.4
Soil,Project,plastic bag,5/31/2023,"Baltimore, MD",Pilot (Hoffman and team),Wyman Dell,"Ava, Elizabeth, Stephen, Fred","39.3253092, -76.6180579","Managed: mowed/tended lawns, yard, or park",B02,1,Soil_B02_1,14B_XDr6GmiixkYcRCtMPrlboFr6yHV9g,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,5.04,0.53,29.02,31.48,10.75,88.21,83.35,7.2,7.91,6.7,82.21,139.38,3062.75,276.56,43.55,16.45,8.64,256.86,1.5,11.79,17.34,371.99,18.7,96.1,38.9
Soil,Project,plastic bag,5/31/2023,"Baltimore, MD",Pilot (Hoffman and team),Stony Run,Ava; Elizabeth; Fred; Stephen,"39.3241847, -76.6263905","Unmanaged: wild plants/weeds, forest, or grassland",B03,1,Soil_B03_1,1mgTAftS5EXaqPN-a7Seg2BKXaX2aZcNd,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,6.39,0.68,40.64,56.91,27.12,125.29,160.54,6.8,7.77,8.7,32.98,167.63,1792.92,234.18,65.42,15.95,7.03,136.88,0.86,8.09,4.86,448.43,13.2,86,17.8
Soil,Project,plastic bag,6/1/2023,"Baltimore, MD",Pilot (Hoffman and team),NDMU Playground,"Ava, Fred, Jenn, Stephen, Elizabeth, Tyler, Loraye, Madeline ","39.3519629, -76.6194265","Managed: mowed/tended lawns, yard, or park",B04,1,Soil_B04_1,1L_XzHPIZefOsbPovznJJzdEqzz2LlSfi,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.87,0.35,23.78,25.53,11.58,43.73,71.66,6.8,7.77,5.2,13.15,184.91,1577.25,270.1,34.55,6.29,6.36,139,0.66,8.75,3.33,579.18,12.5,85.2,8.7
Soil,Project,plastic bag,6/1/2023,"Baltimore, MD",Pilot (Hoffman and team),NDMU Tennis Grove,"Ava, Fred, Jenn, Stephen, Elizabeth, Tyler, Loraye, Madeline ","39.3528954, -76.6188471","Unmanaged: wild plants/weeds, forest, or grassland",B05,1,Soil_B05_1,1Puac4ceuMiCiHO6eIlTT2D0YunsAi7UQ,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,7.77,0.46,26.51,30.12,12.53,120.36,98.55,6.5,7.7,5.6,20.8,148.15,1268.44,179.83,22.99,8.55,7.92,126.34,0.44,8.36,3.52,642.73,10.6,77.4,10.7
Soil,Project,plastic bag,6/1/2023,"Baltimore, MD",Pilot (Hoffman and team),NDMU Library Stream,"Ava, Fred, Jenn, Stephen, Elizabeth, Tyler, Loraye, Madeline ","39.3496891, -76.6178148","Unmanaged: wild plants/weeds, forest, or grassland",B06,1,Soil_B06_1,1oeucaanReM5nL6G4K1VFy1bQ9tTA9bbk,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,4.85,0.3,29.8,25.12,13.3,56.79,100.28,6.8,7.83,4.5,13.15,105.27,1921.19,180.01,35.01,13.36,5.43,156.36,0.77,8.74,5.1,493.12,12.7,89.3,9.3
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Druid Hill Park Playground ,"Ava, Elizabeth ","39.3212027, -76.6417958","Managed: mowed/tended lawns, yard, or park",B07,1,Soil_B07_1,10xkePfbIWOZ60QMaNIXDyl0N7IqnZwak,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,27.3,0.61,21.47,21.74,8.55,53.78,75.08,6.4,7.75,5.4,38.85,68.75,1765.21,141.54,57,11.17,6.34,222.72,0.8,11.94,6.77,528.76,12.2,83.6,17.2
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Druid Hill Park Thicket,"Ava, Elizabeth ","39.3219790, -76.6415973","Unmanaged: wild plants/weeds, forest, or grassland",B08,1,Soil_B08_1,1uKI3nE39rrjEO5gwHXkxVBlqrdtg7jLi,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,7.47,0.33,26.65,24.16,11.01,86.8,64.7,5.7,7.61,5.2,26.81,117.21,614.2,90.43,94.1,7.5,6.86,135.78,0.26,14.48,4.33,893.46,7.2,56.9,10.3
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Druid Hill Park Hiking Trail,"Ava, Elizabeth ","39.3204848, -76.6444267","Unmanaged: wild plants/weeds, forest, or grassland",B09,1,Soil_B09_1,1V47nj_2yMm1DAzmp9amQhu8WQkttvtDe,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,26.66,0.46,38.04,50.11,21.58,69.97,108.65,6.1,7.62,6.8,7.48,183.55,2104.25,356.01,95.76,11.89,7.28,129.19,0.77,9.19,5.94,663.58,17,82.1,6.7
Soil,Project,plastic bag,6/6/2023,"Baltimore, MD",Pilot (Hoffman and team),Druid Hill Park Baseball Field,"Ava, Elizabeth ","39.3195710, -76.6441182","Managed: mowed/tended lawns, yard, or park",B10,1,Soil_B10_1,1SKT1JpADnzUQaPP5OQEiuzWrHzTXkpEs,06/21/2023,sent,6/30/2023,Not applicable,Not applicable,Not applicable,Not applicable,3.43,0.25,21.08,16.24,8.9,80.09,59.97,5.8,7.62,5.8,15.43,62.84,802.97,178.71,29.01,7.91,4.12,357.8,0.4,14.41,21.33,627.9,8.7,65.1,8.5
